userId,movieId,rating,rating_prediksi,K
1,1224,5.0,3.9477452287109793,20
1,1920,4.0,2.890565855252258,20
1,101,5.0,3.758105873390879,20
1,296,3.0,4.646789237812841,20
1,356,4.0,4.193734586697579,20
1,1644,3.0,2.2650334453376746,20
1,2596,5.0,3.3564389798682153,20
1,1092,5.0,3.2121925922344774,20
1,661,5.0,3.356380147917606,20
1,648,3.0,2.9139053178108822,20
1,3147,5.0,3.9457504075058174,20
1,3243,3.0,2.164787877779453,20
1,2991,5.0,3.5971107076216073,20
1,2616,4.0,2.7388489674375127,20
1,1804,5.0,2.0,20
1,1031,5.0,3.412364776587559,20
1,2761,5.0,4.0209060416520215,20
1,1042,4.0,2.7046079964735075,20
1,1445,3.0,2.18770583972768,20
1,2959,5.0,4.528973362049257,20
1,480,4.0,3.817137765714756,20
1,1030,3.0,2.7386371265762994,20
1,163,5.0,3.5942516070230637,20
1,2387,5.0,3.567003617117552,20
1,590,4.0,3.958978490635627,20
1,1500,4.0,3.534477744408115,20
1,3034,5.0,3.414460858788344,20
1,1275,5.0,3.784049409709937,20
1,1408,3.0,3.820310805826721,20
1,1222,5.0,4.327781517496319,20
1,3176,1.0,3.247661297239092,20
1,3479,4.0,3.3559512598394425,20
1,2366,4.0,3.6817803390967265,20
1,3671,5.0,3.867813529709506,20
1,223,3.0,3.7995556847628755,20
1,349,4.0,3.3059286907023457,20
1,1029,5.0,3.1760300941408133,20
1,919,5.0,3.307203784894364,20
1,457,5.0,3.593755415700043,20
1,1,4.0,3.695454347468278,20
1,2993,5.0,3.4665137022566124,20
1,2657,3.0,3.5218446584830216,20
1,2899,5.0,4.389189189189189,20
1,3793,5.0,3.843080772369907,20
1,2058,5.0,3.1993185216478515,20
1,2640,4.0,3.66447603067266,20
1,2139,5.0,3.364604874403945,20
2,114060,2.0,3.5,20
2,46970,4.0,3.279261007962873,20
2,8798,3.5,3.780911382626397,20
2,86345,4.0,4.116128647198784,20
2,74458,4.0,4.14976357260889,20
2,91658,2.5,3.919375054541523,20
3,688,0.5,2.3621802746752016,20
3,527,0.5,4.17727674289811,20
3,1263,0.5,3.7919053885801337,20
3,2288,4.0,4.135990229752608,20
3,1302,0.5,3.6914574163225065,20
